Number of vertices: 18
Start vertex:       13

         0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17
----------------------------------------------------------------------------------------------
  0 |    0    0   31    0    0    0    0   10    0    0    0    0    0   46   83    0    0    0
  1 |    0    0    0    0   34    0    0    0    0    0    0   69   99    0    0    0    0    0
  2 |    0   24    0    0    0    0    0    0    0   78    0    0    0    0    3    0    0    0
  3 |    0    0    4    0    0    0   15    0    0    0    0    0    0    0    0    0    0    0
  4 |   83    0    0   82    0   45    0    0    0    0    0    0    0    0   83    0    0   25
  5 |   24    0    0    0    0    0    0   31   22   60    0   91   82    0    0    0    0    0
  6 |    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
  7 |    0   87    0    0   13   22    0    0    0   22    0    0    0    0    0    0    0    0
  8 |    0    0    0    0    0    8    0    0    0   42    0    0    0    0    0    0    0    0
  9 |    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
 10 |    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
 11 |    0    0    0    0   63    0    0    0    0    0   13    0    0    0    0    0   51    0
 12 |    0    0    0    0   27    0    0    0    0   58    0    0    0    0    0    0    0    0
 13 |   16   81   72    7    0    0    0    0    0    0    0    0    0    0    0    0    0    0
 14 |    0    0    0    0    0    0    0   10    0    0   68    0    0   44    0    0    0   16
 15 |    0    0    0    0    0   69    0    0    0    0    0    0   51    0    0    0   67    0
 16 |    0    0    0    0    0    0    0    0    0   26    0    0    0   44    0    0    0    0
 17 |    0    0    0    0    9    0    0   75    0   97    0    0    0    0    0    0    0    0
